Date,Close
1/02/2015,3.74
1/05/2015,3.78
1/06/2015,4.01
1/07/2015,3.8
1/08/2015,3.68
1/09/2015,3.78
1/12/2015,3.98
1/13/2015,3.77
1/14/2015,3.77
1/15/2015,3.98
1/16/2015,4.06
1/20/2015,4.23
1/21/2015,4.15
1/22/2015,4.09
1/23/2015,3.87
1/26/2015,3.98
1/27/2015,4.15
1/28/2015,3.92
1/29/2015,3.91
1/30/2015,4.04
2/02/2015,4
2/03/2015,3.9
2/04/2015,4.02
2/05/2015,4.1
2/06/2015,3.85
2/09/2015,3.93
2/10/2015,3.82
2/11/2015,3.68
2/12/2015,3.6
2/13/2015,3.74
2/17/2015,3.62
2/18/2015,3.55
2/19/2015,3.49
2/20/2015,3.31
2/23/2015,3.42
2/24/2015,3.39
2/25/2015,3.53
2/26/2015,3.55
2/27/2015,3.62
3/02/2015,3.4
3/03/2015,3.33
3/04/2015,3.19
3/05/2015,3.14
3/06/2015,2.97
3/09/2015,2.76
3/10/2015,2.74
3/11/2015,2.86
3/12/2015,2.77
3/13/2015,2.93
3/16/2015,2.94
3/17/2015,2.96
3/18/2015,3.11
3/19/2015,3.13
3/20/2015,3.3
3/23/2015,3.31
3/24/2015,3.37
3/25/2015,3.45
3/26/2015,3.36
3/27/2015,3.38
3/30/2015,3.29
3/31/2015,3.28
4/01/2015,3.44
4/02/2015,3.49
4/06/2015,3.68
4/07/2015,3.72
4/08/2015,3.54
4/09/2015,3.57
4/10/2015,3.7
4/13/2015,3.58
4/14/2015,3.51
4/15/2015,3.66
4/16/2015,3.58
4/17/2015,3.61
4/20/2015,3.56
4/21/2015,3.64
4/22/2015,3.53
4/23/2015,3.57
4/24/2015,3.41
4/27/2015,3.53
4/28/2015,3.66
4/29/2015,3.65
4/30/2015,3.58
5/01/2015,3.46
5/04/2015,3.46
5/05/2015,3.32
5/06/2015,3.34
5/07/2015,3.28
5/08/2015,3.45
5/11/2015,3.35
5/12/2015,3.51
5/13/2015,3.58
5/14/2015,3.62
5/15/2015,3.6
5/18/2015,3.59
5/19/2015,3.35
5/20/2015,3.44
5/21/2015,3.39
5/22/2015,3.37
5/26/2015,3.22
5/27/2015,3.2
5/28/2015,3.24
5/29/2015,3.32
6/01/2015,3.25
6/02/2015,3.32
6/03/2015,3.24
6/04/2015,3.18
6/05/2015,3.15
6/08/2015,3.33
6/09/2015,3.2
6/10/2015,3.3
6/11/2015,3.2
6/12/2015,3.16
6/15/2015,3.18
6/16/2015,3.11
6/17/2015,3.15
6/18/2015,3.23
6/19/2015,3.03
6/22/2015,3.06
6/23/2015,3.01
6/24/2015,3
6/25/2015,3.06
6/26/2015,3
6/29/2015,3.04
6/30/2015,2.94
7/01/2015,2.87
7/02/2015,3.2
7/06/2015,3.29
7/07/2015,3.16
7/08/2015,3.07
7/09/2015,3.04
7/10/2015,3.03
7/13/2015,3.11
7/14/2015,3.02
7/15/2015,3.03
7/16/2015,3.13
7/17/2015,2.96
7/20/2015,2.65
7/21/2015,2.6
7/22/2015,2.51
7/23/2015,2.3
7/24/2015,2.5
7/27/2015,2.35
7/28/2015,2.42
7/29/2015,2.45
7/30/2015,2.43
7/31/2015,2.55
8/03/2015,2.44
8/04/2015,2.5
8/05/2015,2.3
8/06/2015,2.49
8/07/2015,2.45
8/10/2015,2.7
8/11/2015,2.83
8/12/2015,3.09
8/13/2015,2.89
8/14/2015,2.83
8/17/2015,2.89
8/18/2015,2.9
8/19/2015,2.96
8/20/2015,3.02
8/21/2015,2.95
8/24/2015,2.8
8/25/2015,2.65
8/26/2015,2.5
8/27/2015,2.69
8/28/2015,2.84
8/31/2015,2.73
9/01/2015,2.64
9/02/2015,2.62
9/03/2015,2.62
9/04/2015,2.61
9/08/2015,2.53
9/09/2015,2.49
9/10/2015,2.52
9/11/2015,2.55
9/14/2015,2.64
9/15/2015,2.51
9/16/2015,2.71
9/17/2015,2.87
9/18/2015,2.85
9/21/2015,2.85
9/22/2015,2.76
9/23/2015,2.73
9/24/2015,2.9
9/25/2015,2.78
9/28/2015,2.64
9/29/2015,2.62
9/30/2015,2.67
10/01/2015,2.57
10/02/2015,2.83
10/05/2015,2.95
10/06/2015,2.9
10/07/2015,2.89
10/08/2015,2.81
10/09/2015,3.02
10/12/2015,2.96
10/13/2015,2.9
10/14/2015,3.05
10/15/2015,3.1
10/16/2015,3.03
10/19/2015,2.94
10/20/2015,2.98
10/21/2015,2.9
10/22/2015,2.99
10/23/2015,3.04
10/26/2015,3
10/27/2015,2.68
10/28/2015,2.66
10/29/2015,2.65
10/30/2015,2.65
11/02/2015,2.65
11/03/2015,2.69
11/04/2015,2.76
11/05/2015,2.72
11/06/2015,2.67
11/09/2015,2.7
11/10/2015,2.66
11/11/2015,2.7
11/12/2015,2.68
11/13/2015,2.65
11/16/2015,2.67
11/17/2015,2.53
11/18/2015,2.65
11/19/2015,2.7
11/20/2015,2.59
11/23/2015,2.64
11/24/2015,2.64
11/25/2015,2.66
11/27/2015,2.59
11/30/2015,2.64
12/01/2015,2.73
12/02/2015,2.66
12/03/2015,2.68
12/04/2015,2.88
12/07/2015,2.76
12/08/2015,2.65
12/09/2015,2.67
12/10/2015,2.64
12/11/2015,2.66
12/14/2015,2.61
12/15/2015,2.57
12/16/2015,2.69
12/17/2015,2.54
12/18/2015,2.63
12/21/2015,2.63
12/22/2015,2.61
12/23/2015,2.75
12/24/2015,2.74
12/28/2015,2.69
12/29/2015,2.62
12/30/2015,2.57
12/31/2015,2.63
1/04/2016,2.59
1/05/2016,2.62
1/06/2016,2.65
1/07/2016,2.69
1/08/2016,2.68
1/11/2016,2.55
1/12/2016,2.38
1/13/2016,2.4
1/14/2016,2.31
1/15/2016,2.23
1/19/2016,2.05
1/20/2016,2.02
1/21/2016,2.07
1/22/2016,2.05
1/25/2016,2.06
1/26/2016,2.14
1/27/2016,2.22
1/28/2016,2.23
1/29/2016,2.28
2/01/2016,2.31
2/02/2016,2.24
2/03/2016,2.4
2/04/2016,2.46
2/05/2016,2.57
2/08/2016,2.72
2/09/2016,2.58
2/10/2016,2.54
2/11/2016,2.77
2/12/2016,2.81
2/16/2016,2.66
2/17/2016,2.65
2/18/2016,2.9
2/19/2016,2.82
2/22/2016,2.83
2/23/2016,2.81
2/24/2016,2.86
2/25/2016,2.91
2/26/2016,2.85
2/29/2016,2.97
3/01/2016,2.8
3/02/2016,3.04
3/03/2016,3.27
3/04/2016,3.11
3/07/2016,3.17
3/08/2016,3
3/09/2016,3.04
3/10/2016,3.21
3/11/2016,3.11
3/14/2016,3.14
3/15/2016,3.14
3/16/2016,3.33
3/17/2016,3.34
3/18/2016,3.38
3/21/2016,3.33
3/22/2016,3.35
3/23/2016,3.15
3/24/2016,3.14
3/28/2016,3.08
3/29/2016,3.31
3/30/2016,3.27
3/31/2016,3.29
4/01/2016,3.34
4/04/2016,3.18
4/05/2016,3.35
4/06/2016,3.32
4/07/2016,3.34
4/08/2016,3.54
4/11/2016,3.85
4/12/2016,3.89
4/13/2016,3.91
4/14/2016,3.83
4/15/2016,3.89
4/18/2016,3.93
4/19/2016,4.18
4/20/2016,3.91
4/21/2016,4.04
4/22/2016,3.98
4/25/2016,3.8
4/26/2016,3.96
4/27/2016,3.91
4/28/2016,4.12
4/29/2016,4.27
5/02/2016,4.17
5/03/2016,4.05
5/04/2016,4.05
5/05/2016,3.92
5/06/2016,4.17
5/09/2016,3.92
5/10/2016,4.1
5/11/2016,4.3
5/12/2016,4.22
5/13/2016,4.19
5/16/2016,4.29
5/17/2016,4.39
5/18/2016,4.15
5/19/2016,4.14
5/20/2016,3.93
5/23/2016,3.93
5/24/2016,3.57
5/25/2016,3.75
5/26/2016,3.71
5/27/2016,3.49
5/31/2016,3.59
6/01/2016,3.55
6/02/2016,3.55
6/03/2016,3.99
6/06/2016,4.09
6/07/2016,4.07
6/08/2016,4.15
6/09/2016,4.3
6/10/2016,4.21
6/13/2016,4.2
6/14/2016,4.11
6/15/2016,4.35
6/16/2016,4.39
6/17/2016,4.55
6/20/2016,4.61
6/21/2016,4.45
6/22/2016,4.38
6/23/2016,4.46
6/24/2016,4.83
6/27/2016,4.82
6/28/2016,4.36
6/29/2016,4.41
6/30/2016,4.46
7/01/2016,4.64
7/05/2016,4.8
7/06/2016,5.04
7/07/2016,5.04
7/08/2016,4.9
7/11/2016,5.14
7/12/2016,4.93
7/13/2016,5.21
7/14/2016,5.23
7/15/2016,5.17
7/18/2016,5.22
7/19/2016,5.14
7/20/2016,4.8
7/21/2016,5.15
7/22/2016,5.18
7/25/2016,4.98
7/26/2016,5.12
7/27/2016,5.35
7/28/2016,5.42
7/29/2016,5.68
8/02/2016,5.78
8/03/2016,5.82
8/04/2016,5.94
8/05/2016,5.77
8/08/2016,5.84
8/09/2016,6.18
8/10/2016,6.43
8/11/2016,6.44
8/12/2016,6.53
8/15/2016,6.53
8/16/2016,6.54
8/17/2016,6.4
8/18/2016,6.5
8/19/2016,6.22
8/22/2016,6.21
8/23/2016,6.05
8/24/2016,5.39
8/25/2016,5.61
8/26/2016,5.61
8/29/2016,5.72
8/30/2016,5.43
8/31/2016,5.27
9/01/2016,5.71
9/02/2016,6.01
9/06/2016,6.54
9/07/2016,6.52
9/08/2016,6.45
9/09/2016,6.09
9/12/2016,6.4
9/13/2016,6.21
9/14/2016,6.06
9/15/2016,5.71
9/16/2016,5.38
9/19/2016,5.38
9/20/2016,5.27
9/21/2016,5.56
9/22/2016,5.31
9/23/2016,5.06
9/26/2016,5.02
9/27/2016,4.93
9/28/2016,5.14
9/29/2016,5.05
9/30/2016,5.03
10/03/2016,5.06
10/04/2016,4.59
10/05/2016,4.55
10/06/2016,4.43
10/07/2016,4.5
10/10/2016,4.63
10/11/2016,4.49
10/12/2016,4.54
10/13/2016,4.68
10/14/2016,4.58
10/17/2016,4.63
10/18/2016,4.95
10/19/2016,5
10/20/2016,4.98
10/21/2016,4.93
10/24/2016,4.8
10/25/2016,4.89
10/26/2016,4.76
10/27/2016,4.64
10/28/2016,4.68
10/31/2016,4.82
11/01/2016,4.99
11/02/2016,4.8
11/03/2016,4.96
11/04/2016,4.88
11/07/2016,4.67
11/08/2016,4.64
11/09/2016,4.64
11/10/2016,4.16
11/11/2016,3.75
11/14/2016,3.87
11/15/2016,4.03
11/16/2016,3.94
11/17/2016,3.78
11/18/2016,3.75
11/21/2016,3.88
11/22/2016,3.89
11/23/2016,3.68
11/25/2016,3.66
11/28/2016,3.81
11/29/2016,3.76
11/30/2016,3.7
12/01/2016,3.74
12/02/2016,3.92
12/05/2016,3.96
12/06/2016,3.9
12/07/2016,3.99
12/08/2016,4.02
12/09/2016,3.84
12/12/2016,3.78
12/13/2016,3.76
12/14/2016,3.6
12/15/2016,3.38
12/16/2016,3.28
12/19/2016,3.34
12/20/2016,3.38
12/21/2016,3.37
12/22/2016,3.41
12/23/2016,3.48
12/27/2016,3.55
12/28/2016,3.77
12/29/2016,4.13
12/30/2016,3.9
1/03/2017,4.16
1/04/2017,4.2
1/05/2017,4.42
1/06/2017,4.16
1/09/2017,4.27
1/10/2017,4.31
1/11/2017,4.36
1/12/2017,4.3
1/13/2017,4.3
1/17/2017,4.51
1/18/2017,4.36
1/19/2017,4.33
1/20/2017,4.41
1/23/2017,4.46
1/24/2017,4.37
1/25/2017,4.32
1/26/2017,4.23
1/27/2017,4.31
1/30/2017,4.29
1/31/2017,4.42
2/01/2017,4.5
2/02/2017,4.39
2/03/2017,4.56
2/06/2017,4.94
2/07/2017,4.9
2/08/2017,5.01
2/09/2017,4.81
2/10/2017,4.82
2/13/2017,4.84
2/14/2017,4.82
2/15/2017,4.77
2/16/2017,4.91
2/17/2017,4.66
2/21/2017,4.68
2/22/2017,4.61
2/23/2017,4.64
2/24/2017,4.54
2/27/2017,4.17
2/28/2017,4.19
3/01/2017,4.3
3/02/2017,4.03
3/03/2017,4.2
3/06/2017,4.08
3/07/2017,4.08
3/08/2017,4.03
3/09/2017,3.98
3/10/2017,4.15
3/13/2017,4.4
3/14/2017,4.18
3/15/2017,4.45
3/16/2017,4.38
3/17/2017,4.11
3/20/2017,4.3
3/21/2017,4.36
3/22/2017,4.35
3/23/2017,4.29
3/24/2017,4.29
3/27/2017,4.42
3/28/2017,4.35
3/29/2017,4.34
3/30/2017,4.22
3/31/2017,4.27
4/03/2017,4.42
4/04/2017,4.48
4/05/2017,4.48
4/06/2017,4.48
4/07/2017,4.41
4/10/2017,4.45
4/11/2017,4.47
4/12/2017,4.59
4/13/2017,4.49
4/17/2017,4.55
4/18/2017,4.56
4/19/2017,4.34
4/20/2017,4.29
4/21/2017,4.37
4/24/2017,4.12
4/25/2017,4.04
4/26/2017,3.64
4/27/2017,3.55
4/28/2017,3.48
5/01/2017,3.44
5/02/2017,3.43
5/03/2017,3.36
5/04/2017,3.22
5/05/2017,3.33
5/08/2017,3.38
5/09/2017,3.39
5/10/2017,3.52
5/11/2017,3.59
5/12/2017,3.61
5/15/2017,3.64
5/16/2017,3.68
5/17/2017,3.7
5/18/2017,3.55
5/19/2017,3.54
5/22/2017,3.64
5/23/2017,3.53
5/24/2017,3.45
5/25/2017,3.42
5/26/2017,3.45
5/30/2017,3.4
5/31/2017,3.39
6/01/2017,3.42
6/02/2017,3.45
6/05/2017,3.61
6/06/2017,3.81
6/07/2017,3.95
6/08/2017,3.79
6/09/2017,3.63
6/12/2017,3.81
6/13/2017,3.84
6/14/2017,3.64
6/15/2017,3.63
